title,address,city,state,zip,url,featured_image,care_types,care_types_raw
1 DUARTE CARE,"2436 El Toro Road, Duarte, CA 91010",Duarte,CA,91010,https://app.seniorplace.com/communities/show/770acd23-7014-4a00-a801-5f9f88ed971a,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/14fd6aa5b78c2e7fecaeb78fb6796abe.jpg,Assisted Living Home,Assisted Living Home
11772 JUSTINE WAY,"11772 Justine Way, Adelanto, CA 92301",Adelanto,CA,92301,https://app.seniorplace.com/communities/show/9c5d0230-bf5e-4315-9883-37a2257b33c4,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5c2d5cae7534f16578ec4572eb644f7a.jpg,Assisted Living Home,Assisted Living Home
11848 TRAILWOOD STREET,"11848 Trailwood Street, Victorville, CA 92392",Victorville,CA,92392,https://app.seniorplace.com/communities/show/2212b5da-4572-476b-abfe-ccd14762abb9,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/8b5c3c1224ebdb78ac210f9717b272e5.jpg,Assisted Living Home,Assisted Living Home
143 WEST SIDLEE LLC,"143 West Sidlee Street, Thousand Oaks, CA 91360",Thousand Oaks,CA,91360,https://app.seniorplace.com/communities/show/2bff9b0e-12f3-487f-ba8a-ed642d988c30,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/40b364e358775d00c49f7edb82655cc3.jpg,Assisted Living Home,Assisted Living Home
1440 BY THE BAY,"1440 40th Street, Emeryville, CA 94608",Emeryville,CA,94608,https://app.seniorplace.com/communities/show/fa3b3d05-ccab-4b40-a599-caea45d3c43c,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/713756e240e281bcca1a385454a5726c.jpg,Assisted Living Community,Assisted Living Facility
"164TH PLACE, INC.","1249 West 164th Street, Gardena, CA 90247",Gardena,CA,90247,https://app.seniorplace.com/communities/show/c690a1a7-2899-45fb-a715-cc96220b4032,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/98b7952828731acc4ba69bab722550ec.jpg,Assisted Living Home,Assisted Living Home
16TH STREET HOME CARE INC,"44920 16th Street West, Lancaster, CA 93534",Lancaster,CA,93534,https://app.seniorplace.com/communities/show/11459fd9-e0c1-4964-8884-b6919efb054e,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/463841ccaddfbb200c785bcc726d0616.jpg,Assisted Living Home,Assisted Living Home
1ST CARING TRADITIONS,"3234 Tournament Drive, Palmdale, CA 93551",Palmdale,CA,93551,https://app.seniorplace.com/communities/show/4648c329-f11e-4063-8809-f6519bdbbeac,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6dd77023257980def527a871509ddecf.jpg,Assisted Living Home,Assisted Living Home
1ST CHOICE,"4639 Glasgow Court, Antioch, CA 94531",Antioch,CA,94531,https://app.seniorplace.com/communities/show/81a3887d-d904-498d-9532-272e055d1314,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/f06f383dd167ab107ac6f06dd6aadb7a.jpg,Assisted Living Home,Assisted Living Home
1ST CLASS BOARD AND CARE,"9524 Encino Avenue, Northridge, CA 91325",Northridge,CA,91325,https://app.seniorplace.com/communities/show/1a3a9fbb-4303-4f95-9a6c-ac5e0c6a3fc0,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/978cd10d4b6a60576790da5336ee5461.jpg,Assisted Living Home,Assisted Living Home
1ST COMPANION RESIDENCE LLC,"40341 15th Street West, Palmdale, CA 93551",Palmdale,CA,93551,https://app.seniorplace.com/communities/show/fa9c38cd-5df9-4d20-91c1-9369149d315f,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/b4b569c56a7e59b8177de171df824f42.jpg,Assisted Living Home,Assisted Living Home
1ST GOLDEN SENIOR CARE HOME,"1117 Erwin Drive, Palmdale, CA 93551",Palmdale,CA,93551,https://app.seniorplace.com/communities/show/8fe84bc9-9898-48b1-895a-d6aa7c86bca3,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6da268fc5b1cc34611ef7faf8777e4a1.jpg,Assisted Living Home,Assisted Living Home
1ST PACIFIC COAST HOMES II,"2585 Ardee Lane, South San Francisco, CA 94080",South San Francisco,CA,94080,https://app.seniorplace.com/communities/show/4f65e8ac-aa79-4d61-b982-4df67e3ca19b,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/1498de439320f8ce7657a12597021570.jpg,Assisted Living Home,Assisted Living Home
2 ALL ABOUT SENIORS,"1474 Pompey Drive, San Jose, CA 95128",San Jose,CA,95128,https://app.seniorplace.com/communities/show/96d86c83-07d3-43c1-a286-7c5a7408d7ca,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/7eb14b34f52fdd43c7b2a1c2a2fcf92d.jpg,Assisted Living Home,Assisted Living Home
2044 W AVENUE H6,"2044 Avenue H-6, Lancaster, CA 93536",Lancaster,CA,93536,https://app.seniorplace.com/communities/show/bcf3dd28-0e56-4d21-8557-1d675b7d0f27,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/95be05eaaa22720255dec511bebd1fc4.jpg,Assisted Living Home,Assisted Living Home
218TH STREET HOUSE (HFL HARBOR GATEWAY HOMES),"1418 West 218th Street, Torrance, CA 90501",Torrance,CA,90501,https://app.seniorplace.com/communities/show/429d1fc9-e318-4692-a2b6-5f28e0bd6724,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/bcce49d3542bf449c1df3088d0d10a68.jpg,Assisted Living Home,Assisted Living Home
219TH FACILITY,"1563 West 219th Street, Torrance, CA 90501",Torrance,CA,90501,https://app.seniorplace.com/communities/show/9533bbd5-0e12-477e-87a5-728537cfdc76,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/5bfc4d7334bacde5c18143a53b89a847.jpg,Assisted Living Home,Assisted Living Home
223RD STREET HOUSE (HFL HARBOR GATEWAY HOMES),"1435 West 223rd Street, Torrance, CA 90501",Torrance,CA,90501,https://app.seniorplace.com/communities/show/dd48b90d-44f6-4e11-a7be-3376cacc5a8d,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/6160613ba852920640dafde98fc40007.jpg,Assisted Living Home,Assisted Living Home
234TH HOME,"160 East 234th Street, Carson, CA 90745",Carson,CA,90745,https://app.seniorplace.com/communities/show/c740bd8f-992f-431a-8315-6eedaa00f903,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/a82b9554bbf3912eaf3ab3ffb2257e32.jpg,Assisted Living Home,Assisted Living Home
246 VAN ZANT HOME,"455 East 246th Place, Carson, CA 90745",Carson,CA,90745,https://app.seniorplace.com/communities/show/473b53f8-c933-4647-9ea8-f8518f4b87c3,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/192ea5c9b93a111202304a44792423e2.jpg,Assisted Living Home,Assisted Living Home
254 EAST SIDLEE LLC,"254 East Sidlee Street, Thousand Oaks, CA 91360",Thousand Oaks,CA,91360,https://app.seniorplace.com/communities/show/6a93548f-b37c-42cd-ba85-33f7f31490db,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/c0a47fadb9e7c75a887890d0015e6fc2.jpg,Assisted Living Home,Assisted Living Home
2592 CIRO LLC,"2592 Ciro Avenue, Thousand Oaks, CA 91360",Thousand Oaks,CA,91360,https://app.seniorplace.com/communities/show/a43dbe9e-0ecf-493e-b567-62606d890176,https://placement-crm-cdn.s3.us-west-2.amazonaws.com/_entities/communities/d6b3ff9a2301c0848f1eb1293a174954.jpg,Assisted Living Home,Assisted Living Home
