Deleted_ID,Reason
13314,True duplicate (same title + address)
11011,True duplicate (same title + address)
10634,True duplicate (same title + address)
10636,True duplicate (same title + address)
13965,True duplicate (same title + address)
10897,True duplicate (same title + address)
13586,True duplicate (same title + address)
12706,True duplicate (same title + address)
9000,True duplicate (same title + address)
14251,True duplicate (same title + address)
10670,True duplicate (same title + address)
14773,True duplicate (same title + address)
13751,True duplicate (same title + address)
9789,True duplicate (same title + address)
10434,True duplicate (same title + address)
10436,True duplicate (same title + address)
10312,True duplicate (same title + address)
8781,True duplicate (same title + address)
10702,True duplicate (same title + address)
14678,True duplicate (same title + address)
13399,True duplicate (same title + address)
10993,True duplicate (same title + address)
7409,True duplicate (same title + address)
10353,True duplicate (same title + address)
10356,True duplicate (same title + address)
12661,True duplicate (same title + address)
14458,True duplicate (same title + address)
